feature,feature_group,gain,weight,cover,gain_percent,weight_percent,cover_percent
cqcc_8_mean,CQCC,6.669710636138916,240.0,46.93259811401367,0.9525117107579549,1.659062629614268,0.7393383611576013
cqcc_1_mean,CQCC,6.366048812866211,214.0,65.19902801513672,0.9091452952480903,1.479330844739389,1.027092989923061
cqcc_15_std,CQCC,6.175140857696533,148.0,73.36461639404297,0.8818814343557321,1.023088621595465,1.1557270944165317
f0_mean,F0/Pitch,6.015038967132568,106.0,59.854713439941406,0.8590170352841486,0.7327526614129684,0.9429029612794992
chroma_2_mean,Chroma,5.497788906097412,97.0,46.03111267089844,0.7851477525814334,0.6705378128024333,0.7251370853513672
chroma_6_std,Chroma,5.316676616668701,102.0,63.0947265625,0.7592828258920653,0.7051016175860638,0.993943519194965
zcr_mean,ZCR,5.129761695861816,73.0,84.43634796142578,0.7325892164243208,0.5046315498410064,1.3301422387117607
cqcc_6_mean,CQCC,5.0862555503845215,144.0,49.469520568847656,0.7263760363753207,0.9954375777685608,0.7793029948133892
mfcc_16_mean,MFCC,4.978138446807861,164.0,39.08116149902344,0.7109356652845569,1.1336927969030832,0.6156531506018622
chroma_3_std,Chroma,4.5517401695251465,67.0,78.36014556884766,0.6500410665956514,0.4631549841006498,1.2344226386999042
cqcc_8_std,CQCC,4.533590793609619,131.0,67.37822723388672,0.6474491260984402,0.9055716853311212,1.061422339751778
spectral_bandwidth_mean,Spectral,4.408353805541992,223.0,49.29737854003906,0.6295638377760182,1.5415456933499239,0.7765912078981089
spectral_contrast_5_mean,Spectral,4.12962007522583,114.0,62.566192626953125,0.5897574418477101,0.7880547490667772,0.9856174211431564
cqcc_14_std,CQCC,4.058981895446777,119.0,66.47361755371094,0.579669493938605,0.8226185538504078,1.0471718472304876
cqcc_2_mean,CQCC,4.052663803100586,110.0,25.83018684387207,0.578767197380672,0.7604037052398728,0.40690796540072083
f0_std,F0/Pitch,3.995790481567383,163.0,55.768310546875,0.5706450302064991,1.126780035946357,0.8785290604217224
spectral_contrast_2_std,Spectral,3.91957426071167,98.0,38.47568893432617,0.5597604736079828,0.6774505737591594,0.6061150233364232
spectral_contrast_6_mean,Spectral,3.6366469860076904,154.0,35.494712829589844,0.519355191107694,1.064565187335822,0.5591551260264201
cqcc_9_mean,CQCC,3.575446605682373,125.0,53.84783935546875,0.5106150699625805,0.8640951195907645,0.8482755036112649
spectral_bandwidth_std,Spectral,3.5088746547698975,199.0,35.623104095458984,0.5011078264985905,1.3756394303884971,0.5611776986499096
voiced_frame_ratio,F0/Pitch,3.2809321880340576,63.0,67.95270538330078,0.46855500962396934,0.43550394027374534,1.070472205955154
spectral_centroid_mean,Spectral,3.2578468322753906,38.0,32.73432159423828,0.46525815419698896,0.26268491635559243,0.5156701451365757
cqcc_11_mean,CQCC,3.058738946914673,258.0,26.758060455322266,0.43682324856814053,1.783492326835338,0.42152493916348666
cqcc_10_mean,CQCC,3.0348989963531494,129.0,50.84003448486328,0.43341862828810884,0.891746163417669,0.8008929675259402
mfcc_2_std,MFCC,2.955101251602173,34.0,52.88585662841797,0.4220225887124879,0.23503387252868796,0.8331212023055532
mfcc_18_mean,MFCC,2.6305224895477295,112.0,39.36876678466797,0.3756689927641107,0.774229227153325,0.6201838526957912
mfcc_6_mean,MFCC,2.5965771675109863,132.0,47.51487731933594,0.37082120872528684,0.9124844462878473,0.7485111189144443
cqcc_17_mean,CQCC,2.55348539352417,63.0,19.990110397338867,0.3646672057109163,0.43550394027374534,0.3149081034172499
cqcc_13_std,CQCC,2.483978033065796,61.0,30.808698654174805,0.35474075186121795,0.4216784183602931,0.48533543182589467
mfcc_7_std,MFCC,2.3506405353546143,43.0,19.071613311767578,0.3356986172047457,0.297248721139223,0.30043883989332104
cqcc_7_mean,CQCC,2.322343587875366,208.0,42.96207046508789,0.33165748628871394,1.4378542789990323,0.6767898655947444
cqcc_18_std,CQCC,2.3097500801086426,58.0,63.428184509277344,0.32985898793072976,0.40094013549011476,0.9991965471924013
mfcc_13_std,MFCC,2.284848690032959,152.0,33.20573043823242,0.3263027818289653,1.0507396654223697,0.523096340492459
spectral_contrast_6_std,Spectral,2.2716243267059326,131.0,18.414676666259766,0.32441419001089467,0.9055716853311212,0.29008998893701543
spectral_contrast_1_mean,Spectral,2.266164779663086,49.0,16.05449867248535,0.32363450363806034,0.3387252868795797,0.25290964520836984
mfcc_7_mean,MFCC,2.1768460273742676,121.0,17.630573272705078,0.31087875422302436,0.83644407576386,0.27773785542502605
cqcc_16_mean,CQCC,2.1706454753875732,88.0,30.116960525512695,0.3099932437859616,0.6083229641918982,0.4744383463256875
chroma_4_std,Chroma,2.1277878284454346,124.0,40.22568130493164,0.3038726768176247,0.8571823586340386,0.6336829940713616
mfcc_3_std,MFCC,2.1262831687927246,129.0,43.02112579345703,0.3036577940411298,0.891746163417669,0.6777201756872732
rms_mean,RMS,2.094932794570923,58.0,17.17878532409668,0.29918059852066603,0.40094013549011476,0.2706207518565545
spectral_contrast_1_std,Spectral,2.006455183029175,97.0,28.769775390625,0.2865449737190786,0.6705378128024333,0.4532158764469883
mfcc_13_mean,MFCC,1.9595392942428589,192.0,27.50388526916504,0.27984484294467166,1.3272501036914142,0.43327406275211966
mfcc_20_mean,MFCC,1.9369120597839355,140.0,19.08646011352539,0.276613412530373,0.9677865339416564,0.3006727244537578
cqcc_14_mean,CQCC,1.915470004081726,51.0,27.1520938873291,0.27355123933077197,0.3525508087930319,0.42773222458061877
cqcc_20_mean,CQCC,1.8638694286346436,84.0,42.03236770629883,0.2661820811953527,0.5806719203649938,0.6621440769176081
chroma_1_mean,Chroma,1.8626432418823242,45.0,26.816650390625,0.26600696756526027,0.3110742430526752,0.4224479178283759
mfcc_17_mean,MFCC,1.8605839014053345,109.0,22.462881088256836,0.26571286996076415,0.7534909442831467,0.3538621418384885
cqcc_12_mean,CQCC,1.8593807220458984,126.0,25.365270614624023,0.26554104205209966,0.8710078805474907,0.39958404946977666
mfcc_15_mean,MFCC,1.852824091911316,167.0,21.994295120239258,0.26460467954298883,1.1544310797732615,0.34648041579779615
mfcc_12_mean,MFCC,1.8450827598571777,100.0,16.442644119262695,0.26349912791703384,0.6912760956726116,0.2590241760471273
chroma_2_std,Chroma,1.7844990491867065,14.0,11.032748222351074,0.25484707432086734,0.09677865339416562,0.17380103206649222
cqcc_10_std,CQCC,1.7168750762939453,45.0,22.585670471191406,0.24518958996774978,0.3110742430526752,0.35579646690879163
cqcc_19_std,CQCC,1.6664530038833618,51.0,43.440128326416016,0.23798873567708007,0.3525508087930319,0.6843208042160033
cqcc_12_std,CQCC,1.6661317348480225,46.0,19.015056610107422,0.23794285474833232,0.3179870040094014,0.2995478911541032
mfcc_14_std,MFCC,1.6227623224258423,62.0,17.017513275146484,0.23174920175880287,0.4285911793170193,0.26808020185159404
mfcc_4_mean,MFCC,1.6169949769973755,74.0,27.461009979248047,0.2309255582215802,0.5115443107977325,0.43259863995740505
mfcc_3_mean,MFCC,1.5119078159332275,42.0,21.61043357849121,0.215917897915967,0.2903359601824969,0.34043337014952446
spectral_contrast_3_std,Spectral,1.4608409404754639,40.0,24.400632858276367,0.20862495830299804,0.27651043826904464,0.3843879229703177
mfcc_15_std,MFCC,1.4200516939163208,51.0,15.679566383361816,0.20279978279837244,0.3525508087930319,0.24700326381622414
mfcc_19_mean,MFCC,1.4166003465652466,96.0,17.115123748779297,0.20230689053525397,0.6636250518457071,0.2696178786584945
cqcc_6_std,CQCC,1.3885775804519653,68.0,37.123016357421875,0.1983049158849439,0.4700677450573759,0.5848061087146129
cqcc_9_std,CQCC,1.38435959815979,74.0,22.480941772460938,0.1977025392979751,0.5115443107977325,0.35414665531520695
mfcc_10_std,MFCC,1.3326644897460938,43.0,19.544513702392578,0.1903198807631136,0.297248721139223,0.30788853187385257
cqcc_7_std,CQCC,1.3117790222167969,38.0,44.08338928222656,0.18733719478292737,0.26268491635559243,0.6944542193683093
spectral_contrast_2_mean,Spectral,1.3022228479385376,99.0,32.825927734375,0.185972462726822,0.6843633347158855,0.5171132345081917
cqcc_20_std,CQCC,1.2978425025939941,52.0,40.266136169433594,0.18534689882076066,0.35946356974975807,0.6343202874329834
cqcc_15_mean,CQCC,1.287839651107788,61.0,23.242874145507812,0.18391837610045575,0.4216784183602931,0.36614952442193965
chroma_1_std,Chroma,1.2693126201629639,39.0,22.061161041259766,0.18127250210332893,0.26959767731231854,0.34753376767796484
mfcc_11_mean,MFCC,1.2689251899719238,81.0,29.197277069091797,0.18121717259741793,0.5599336374948154,0.4599503936706446
chroma_10_mean,Chroma,1.2671093940734863,44.0,14.15004825592041,0.18095785597156067,0.3041614820959491,0.22290846678503837
mfcc_14_mean,MFCC,1.2563048601150513,128.0,15.44758129119873,0.17941484373517835,0.8848334024609429,0.24334875746573004
chroma_11_mean,Chroma,1.253055214881897,46.0,19.172931671142578,0.17895075686406037,0.3179870040094014,0.3020349277466616
mfcc_2_mean,MFCC,1.2383798360824585,52.0,13.162912368774414,0.17685494327800555,0.35946356974975807,0.20735792284819085
mfcc_5_mean,MFCC,1.1860588788986206,55.0,19.175554275512695,0.16938290631051858,0.3802018526199364,0.30207624214422074
chroma_9_mean,Chroma,1.1733723878860474,59.0,21.353384017944336,0.16757112887111575,0.40785289644684086,0.33638401834570303
cqcc_13_mean,CQCC,1.1610316038131714,85.0,23.44623565673828,0.16580872237544889,0.5875846813217199,0.3693531179257643
mfcc_9_std,MFCC,1.1165465116500854,45.0,12.522425651550293,0.15945573743335914,0.3110742430526752,0.1972682108167937
mfcc_8_std,MFCC,1.1099802255630493,63.0,25.974658966064453,0.15851799594271634,0.43550394027374534,0.4091838628866259
mfcc_19_std,MFCC,1.1045857667922974,45.0,16.086923599243164,0.15774760492687512,0.3110742430526752,0.25342044139637415
cqcc_19_mean,CQCC,1.099252700805664,81.0,29.973379135131836,0.15698598150966284,0.5599336374948154,0.4721764807115353
mfcc_10_mean,MFCC,1.0906708240509033,84.0,33.95096969604492,0.15576039039257608,0.5806719203649938,0.5348362397028733
spectral_centroid_std,Spectral,1.0903692245483398,27.0,16.873441696166992,0.15571731850028228,0.18664454583160514,0.26581061420095253
mfcc_5_std,MFCC,1.0551985502243042,57.0,32.449954986572266,0.15069454000260948,0.3940273745333886,0.5111904625677779
mfcc_6_std,MFCC,1.0369333028793335,53.0,19.471725463867188,0.14808605172701514,0.3663763307064842,0.3067418845722867
